date,outputgap,fedfunds
1955/01/01,-1.2387105242,1.34
1955/04/01,-1.5950011076,1.5
1955/07/01,-1.8263113715,1.94
1955/10/01,-1.7343620073,2.36
1956/01/01,-1.2006598224,2.48
1956/04/01,-1.1913443238,2.69
1956/07/01,-0.7850068969,2.81
1956/10/01,-1.1157497665,2.93
1957/01/01,-1.0193135037,2.93
1957/04/01,-0.5398615207,3
1957/07/01,-0.5750164414,3.23
1957/10/01,0.2579071409,3.25
1958/01/01,1.7851864573,1.86
1958/04/01,1.8722898519,0.94
1958/07/01,1.2506902929,1.32
1958/10/01,0.6158751376,2.16
1959/01/01,0.1801206457,2.57
1959/04/01,-0.4929296372,3.08
1959/07/01,-0.0319651267,3.58
1959/10/01,0.1843511848,3.99
1960/01/01,-0.366732983,3.93
1960/04/01,0.2184596402,3.7
1960/07/01,0.53750618,2.94
1960/10/01,1.4988622547,2.3
1961/01/01,1.6381202455,2
1961/04/01,1.272838911,1.73
1961/07/01,0.9902598678,1.68
1961/10/01,0.5540466984,2.4
1962/01/01,0.2122446047,2.46
1962/04/01,0.1811065867,2.61
1962/07/01,0.2044563515,2.85
1962/10/01,0.4720425762,2.92
1963/01/01,0.4303855539,2.97
1963/04/01,0.30612579,2.96
1963/07/01,-0.093530168,3.33
1963/10/01,0.0379891636,3.45
1964/01/01,-0.4517829995,3.46
1964/04/01,-0.5253158434,3.49
1964/07/01,-0.6699458889,3.46
1964/10/01,-0.3798497537,3.58
1965/01/01,-0.9894627389,3.97
1965/04/01,-1.1261590293,4.08
1965/07/01,-1.543187366,4.07
1965/10/01,-2.0951703866,4.17
1966/01/01,-2.688067233,4.56
1966/04/01,-2.389844779,4.91
1966/07/01,-2.2211245115,5.41
1966/10/01,-2.1136808895,5.56
1967/01/01,-2.0333689035,4.82
1967/04/01,-1.5983966848,3.99
1967/07/01,-1.5016799165,3.89
1967/10/01,-1.3848840536,4.17
1968/01/01,-1.8019466805,4.79
1968/04/01,-2.0749372964,5.98
1968/07/01,-1.9360543608,5.94
1968/10/01,-1.6839633782,5.92
1969/01/01,-1.9136100407,6.57
1969/04/01,-1.6185635144,8.33
1969/07/01,-1.4635194636,8.98
1969/10/01,-0.8563425435,8.94
1970/01/01,-0.3753955231,8.57
1970/04/01,-0.0584402301,7.88
1970/07/01,-0.0567566587,6.7
1970/10/01,0.7690684952,5.57
1971/01/01,-0.0103232859,3.86
1971/04/01,0.1004819169,4.56
1971/07/01,0.1155115705,5.47
1971/10/01,0.3401341128,4.75
1972/01/01,-0.0793881609,3.54
1972/04/01,-0.7202032607,4.3
1972/07/01,-0.7620605197,4.74
1972/10/01,-1.1143457191,5.14
1973/01/01,-1.7971145065,6.54
1973/04/01,-1.899794615,7.82
1973/07/01,-1.2697215315,10.56
1973/10/01,-1.2755182046,10
1974/01/01,-0.5122952712,9.32
1974/04/01,-0.2209763155,11.25
1974/07/01,0.6047470069,12.09
1974/10/01,1.1759102129,9.35
1975/01/01,2.087140208,6.3
1975/04/01,2.1221793078,5.42
1975/07/01,1.7702090152,6.16
1975/10/01,1.5417274363,5.41
1976/01/01,0.9168886686,4.83
1976/04/01,0.9292223849,5.2
1976/07/01,1.0485511426,5.28
1976/10/01,1.0688862607,4.87
1977/01/01,0.9249958663,4.66
1977/04/01,0.4524451327,5.16
1977/07/01,0.0707708085,5.82
1977/10/01,0.454993697,6.51
1978/01/01,0.7036340831,6.76
1978/04/01,-0.5325417726,7.28
1978/07/01,-0.536055193,8.1
1978/10/01,-0.703675815,9.58
1979/01/01,-0.3956770611,10.07
1979/04/01,-0.0785035311,10.18
1979/07/01,-0.0407232319,10.95
1979/10/01,0.1707807163,13.58
1980/01/01,0.3142720255,15.05
1980/04/01,1.445971603,12.69
1980/07/01,1.7392517282,9.84
1980/10/01,1.1634446347,15.85
1981/01/01,0.505407924,16.57
1981/04/01,1.0784919735,17.78
1981/07/01,0.8496945371,17.58
1981/10/01,1.6403046807,13.59
1982/01/01,2.6867786647,14.23
1982/04/01,2.7724455663,14.51
1982/07/01,3.2564700239,11.01
1982/10/01,3.5445526515,9.29
1983/01/01,3.2963262886,8.65
1983/04/01,2.6316488459,8.8
1983/07/01,2.1067302435,9.46
1983/10/01,1.541707421,9.43
1984/01/01,1.0170971477,9.69
1984/04/01,0.6000573714,10.56
1984/07/01,0.5195548203,11.39
1984/10/01,0.5257605993,9.27
1985/01/01,0.456075796,8.48
1985/04/01,0.4275320757,7.92
1985/07/01,0.1274823757,7.9
1985/10/01,0.1751968389,8.1
1986/01/01,0.1447685911,7.83
1986/04/01,0.3151784668,6.92
1986/07/01,0.2475187712,6.21
1986/10/01,0.3874628274,6.27
1987/01/01,0.4422762041,6.22
1987/04/01,0.3098654578,6.65
1987/07/01,0.2662365647,6.84
1987/10/01,-0.0995504082,6.92
1988/01/01,-0.0027289677,6.66
1988/04/01,-0.2345480545,7.16
1988/07/01,-0.1493877378,7.98
1988/10/01,-0.3883207552,8.47
1989/01/01,-0.4921672037,9.44
1989/04/01,-0.5018053505,9.73
1989/07/01,-0.4962700554,9.08
